Date,Building_Name,Energy_Consumption_kWh,Usage_Level
2023-03-04,Main Block,107.19,Low
2023-03-05,Main Block,80.95,Low
2023-03-06,Main Block,346.81,High
2023-03-07,Main Block,168.19,High
2023-03-08,Main Block,329.74,High
2023-03-09,Main Block,227.29,Medium
2023-03-10,Main Block,322.41,High
2023-03-11,Main Block,120.91,Low
2023-03-12,Main Block,128.57,Low
2023-03-13,Main Block,313.67,Low
2023-03-14,Main Block,260.22,Low
2023-03-15,Main Block,340.56,Low
2023-03-16,Main Block,327.22,High
2023-03-17,Main Block,293.79,High
2023-03-18,Main Block,128.0,Low
2023-03-19,Main Block,116.11,Low
2023-03-20,Main Block,359.15,Medium
2023-03-21,Main Block,251.32,Low
2023-03-22,Main Block,284.15,Low
2023-03-23,Main Block,246.07,High
2023-03-24,Main Block,278.31,Low
2023-03-25,Main Block,80.33,Low
2023-03-26,Main Block,100.45,Low
2023-03-27,Main Block,279.9,High
2023-03-28,Main Block,237.88,High
2023-03-29,Main Block,344.63,High
2023-03-30,Main Block,322.18,High
2023-03-31,Main Block,281.71,High
2023-04-01,Main Block,96.67,Low
2023-04-02,Main Block,65.33,Low
2023-04-03,Main Block,255.61,High
2023-04-04,Main Block,509.34,High
2023-04-05,Main Block,505.79,High
2023-04-06,Main Block,271.16,High
2023-04-07,Main Block,506.1,High
2023-04-08,Main Block,126.43,Low
2023-04-09,Main Block,110.07,Low
2023-04-10,Main Block,466.15,High
2023-04-11,Main Block,344.54,High
2023-04-12,Main Block,490.94,High
2023-04-13,Main Block,432.13,High
2023-04-14,Main Block,421.44,High
2023-04-15,Main Block,129.81,Low
2023-04-16,Main Block,109.01,Low
2023-04-17,Main Block,463.43,High
2023-04-18,Main Block,364.01,High
2023-04-19,Main Block,341.48,High
2023-04-20,Main Block,490.58,High
2023-04-21,Main Block,502.59,High
2023-04-22,Main Block,152.79,Low
2023-04-23,Main Block,112.24,Low
2023-04-24,Main Block,497.92,High
2023-04-25,Main Block,340.15,High
2023-04-26,Main Block,407.98,High
2023-04-27,Main Block,292.49,High
2023-04-28,Main Block,315.83,High
2023-04-29,Main Block,93.37,Low
2023-04-30,Main Block,72.8,Low
2023-05-01,Main Block,388.63,High
2023-05-02,Main Block,428.75,High
2023-05-03,Main Block,282.65,High
2023-05-04,Main Block,394.05,High
2023-05-05,Main Block,405.48,High
2023-05-06,Main Block,115.89,Low
2023-05-07,Main Block,65.2,Low
2023-05-08,Main Block,265.44,High
2023-05-09,Main Block,515.34,High
2023-05-10,Main Block,374.99,High
2023-05-11,Main Block,300.31,High
2023-05-12,Main Block,396.27,High
2023-05-13,Main Block,95.13,Low
2023-05-14,Main Block,135.66,Low
2023-05-15,Main Block,473.07,High
2023-05-16,Main Block,379.42,High
2023-05-17,Main Block,337.08,High
2023-05-18,Main Block,256.67,High
2023-05-19,Main Block,294.62,High
2023-05-20,Main Block,96.73,Low
2023-05-21,Main Block,27.22,Low
2023-05-22,Main Block,294.79,High
2023-05-23,Main Block,389.13,High
2023-05-24,Main Block,410.82,High
2023-05-25,Main Block,286.19,High
2023-05-26,Main Block,376.46,High
2023-05-27,Main Block,108.99,Low
2023-05-28,Main Block,62.13,Low
2023-05-29,Main Block,427.73,High
2023-05-30,Main Block,500.61,High
2023-05-31,Main Block,425.48,High
2023-06-01,Main Block,366.77,High
2023-06-02,Main Block,400.34,High
2023-06-03,Main Block,132.86,Low
2023-06-04,Main Block,125.43,Low
2023-06-05,Main Block,272.28,High
2023-06-06,Main Block,337.04,High
2023-06-07,Main Block,299.22,High
2023-06-08,Main Block,450.15,High
2023-06-09,Main Block,454.19,High
2023-06-10,Main Block,106.38,Low
2023-06-11,Main Block,104.95,Low
2023-06-12,Main Block,469.57,High
2023-06-13,Main Block,357.9,High
2023-06-14,Main Block,467.34,High
2023-06-15,Main Block,481.17,High
2023-06-16,Main Block,379.79,High
2023-06-17,Main Block,68.18,Low
2023-06-18,Main Block,135.45,Low
2023-06-19,Main Block,343.42,High
2023-06-20,Main Block,496.08,High
2023-06-21,Main Block,505.86,High
2023-06-22,Main Block,400.91,High
2023-06-23,Main Block,357.16,High
2023-06-24,Main Block,89.22,Low
2023-06-25,Main Block,121.66,Low
2023-06-26,Main Block,465.18,High
2023-06-27,Main Block,265.99,High
2023-06-28,Main Block,412.63,High
2023-06-29,Main Block,349.77,High
2023-06-30,Main Block,294.57,High
2023-07-01,Main Block,94.58,Low
2023-07-02,Main Block,62.34,Low
2023-07-03,Main Block,166.07,Medium
2023-07-04,Main Block,353.06,Medium
2023-07-05,Main Block,348.25,Low
2023-07-06,Main Block,277.47,Medium
2023-07-07,Main Block,253.23,High
2023-07-08,Main Block,82.07,Low
2023-07-09,Main Block,88.51,Low
2023-07-10,Main Block,173.26,Low
2023-07-11,Main Block,304.99,Medium
2023-07-12,Main Block,239.82,Low
2023-07-13,Main Block,238.32,Medium
2023-07-14,Main Block,160.77,Low
2023-07-15,Main Block,57.88,Low
2023-07-16,Main Block,95.45,Low
2023-07-17,Main Block,291.89,Medium
2023-07-18,Main Block,229.26,Low
2023-07-19,Main Block,361.6,Low
2023-07-20,Main Block,368.27,Medium
2023-07-21,Main Block,205.61,Medium
2023-07-22,Main Block,74.72,Low
2023-07-23,Main Block,71.36,Low
2023-07-24,Main Block,213.49,High
2023-07-25,Main Block,239.14,Low
2023-07-26,Main Block,297.2,Low
2023-07-27,Main Block,283.37,Low
2023-07-28,Main Block,242.26,Medium
2023-07-29,Main Block,112.4,Low
2023-07-30,Main Block,131.96,Low
2023-07-31,Main Block,224.25,Medium
2023-08-01,Main Block,327.32,Low
2023-08-02,Main Block,254.66,Low
2023-08-03,Main Block,161.44,High
2023-08-04,Main Block,366.96,Medium
2023-08-05,Main Block,139.19,Low
2023-08-06,Main Block,117.06,Low
2023-08-07,Main Block,223.92,Low
2023-08-08,Main Block,353.02,Low
2023-08-09,Main Block,209.71,Low
2023-08-10,Main Block,245.91,High
2023-08-11,Main Block,308.44,Medium
2023-08-12,Main Block,75.09,Low
2023-08-13,Main Block,119.82,Low
2023-08-14,Main Block,269.27,High
2023-08-15,Main Block,324.56,Low
2023-08-16,Main Block,349.11,Medium
2023-08-17,Main Block,237.16,Medium
2023-08-18,Main Block,195.45,Medium
2023-08-19,Main Block,94.19,Low
2023-08-20,Main Block,83.67,Low
2023-08-21,Main Block,295.08,High
2023-08-22,Main Block,258.0,Low
2023-08-23,Main Block,258.3,Low
2023-08-24,Main Block,228.41,High
2023-08-25,Main Block,280.23,High
2023-08-26,Main Block,56.79,Low
2023-08-27,Main Block,78.34,Low
2023-08-28,Main Block,304.4,Medium
2023-08-29,Main Block,273.05,High
2023-08-30,Main Block,168.86,Low
2023-08-31,Main Block,254.98,Medium
2023-09-01,Main Block,163.59,High
2023-09-02,Main Block,109.49,Low
2023-09-03,Main Block,104.16,Low
2023-09-04,Main Block,202.38,High
2023-09-05,Main Block,205.8,High
2023-09-06,Main Block,275.02,Medium
2023-09-07,Main Block,332.32,Medium
2023-09-08,Main Block,308.34,Low
2023-09-09,Main Block,92.0,Low
2023-09-10,Main Block,52.47,Low
2023-09-11,Main Block,279.07,Low
2023-09-12,Main Block,184.38,Medium
2023-09-13,Main Block,229.4,Low
2023-09-14,Main Block,294.27,High
2023-09-15,Main Block,299.24,Medium
2023-09-16,Main Block,93.37,Low
2023-09-17,Main Block,77.77,Low
2023-09-18,Main Block,217.29,Medium
2023-09-19,Main Block,215.22,High
2023-09-20,Main Block,355.02,Low
2023-09-21,Main Block,244.88,Medium
2023-09-22,Main Block,202.78,Medium
2023-09-23,Main Block,53.87,Low
2023-09-24,Main Block,146.01,Low
2023-09-25,Main Block,325.99,Medium
2023-09-26,Main Block,281.14,Medium
2023-09-27,Main Block,187.29,Medium
2023-09-28,Main Block,306.04,Low
2023-09-29,Main Block,320.19,Medium
2023-09-30,Main Block,63.12,Low
2023-10-01,Main Block,92.21,Low
2023-10-02,Main Block,259.3,Low
2023-10-03,Main Block,248.72,Medium
2023-10-04,Main Block,356.09,Low
2023-10-05,Main Block,187.48,Low
2023-10-06,Main Block,338.03,High
2023-10-07,Main Block,107.91,Low
2023-10-08,Main Block,64.84,Low
2023-10-09,Main Block,247.41,Low
2023-10-10,Main Block,302.94,Low
2023-10-11,Main Block,336.28,Medium
2023-10-12,Main Block,169.38,Low
2023-10-13,Main Block,193.82,Medium
2023-10-14,Main Block,110.62,Low
2023-10-15,Main Block,94.63,Low
2023-10-16,Main Block,342.13,Low
2023-10-17,Main Block,335.33,High
2023-10-18,Main Block,311.55,High
2023-10-19,Main Block,269.34,Low
2023-10-20,Main Block,211.17,Low
2023-10-21,Main Block,33.8,Low
2023-10-22,Main Block,46.97,Low
2023-10-23,Main Block,239.55,High
2023-10-24,Main Block,225.53,High
2023-10-25,Main Block,320.77,High
2023-10-26,Main Block,328.31,Medium
2023-10-27,Main Block,328.04,Low
2023-10-28,Main Block,69.71,Low
2023-10-29,Main Block,124.41,Low
2023-10-30,Main Block,204.7,Medium
2023-10-31,Main Block,257.81,High
2023-11-01,Main Block,229.37,Medium
2023-11-02,Main Block,218.37,Medium
2023-11-03,Main Block,237.46,Medium
2023-11-04,Main Block,104.42,Low
2023-11-05,Main Block,61.06,Low
2023-11-06,Main Block,242.97,Medium
2023-11-07,Main Block,196.93,Medium
2023-11-08,Main Block,229.9,Medium
2023-11-09,Main Block,151.74,Medium
2023-11-10,Main Block,235.92,Medium
2023-11-11,Main Block,71.23,Low
2023-11-12,Main Block,129.86,Low
2023-11-13,Main Block,224.44,Medium
2023-11-14,Main Block,197.48,Medium
2023-11-15,Main Block,186.98,Medium
2023-11-16,Main Block,251.32,Medium
2023-11-17,Main Block,214.0,Medium
2023-11-18,Main Block,88.36,Low
2023-11-19,Main Block,66.98,Low
2023-11-20,Main Block,124.77,Medium
2023-11-21,Main Block,181.88,Medium
2023-11-22,Main Block,226.37,Medium
2023-11-23,Main Block,187.73,Medium
2023-11-24,Main Block,180.6,Medium
2023-11-25,Main Block,58.26,Low
2023-11-26,Main Block,64.27,Low
2023-11-27,Main Block,202.83,Medium
2023-11-28,Main Block,175.54,Medium
2023-11-29,Main Block,195.3,Medium
2023-11-30,Main Block,260.11,Medium
2023-12-01,Main Block,141.34,Medium
2023-12-02,Main Block,128.11,Low
2023-12-03,Main Block,84.4,Low
2023-12-04,Main Block,228.99,Medium
2023-12-05,Main Block,156.14,Medium
2023-12-06,Main Block,156.34,Medium
2023-12-07,Main Block,160.45,Medium
2023-12-08,Main Block,127.47,Medium
2023-12-09,Main Block,126.38,Low
2023-12-10,Main Block,59.79,Low
2023-12-11,Main Block,170.32,Medium
2023-12-12,Main Block,155.69,Medium
2023-12-13,Main Block,240.53,Medium
2023-12-14,Main Block,170.47,Medium
2023-12-15,Main Block,210.1,Medium
2023-12-16,Main Block,63.48,Low
2023-12-17,Main Block,106.95,Low
2023-12-18,Main Block,159.16,Medium
2023-12-19,Main Block,161.03,Medium
2023-12-20,Main Block,151.91,Medium
2023-12-21,Main Block,211.35,Medium
2023-12-22,Main Block,159.32,Medium
2023-12-23,Main Block,110.68,Low
2023-12-24,Main Block,85.51,Low
2023-12-25,Main Block,210.28,Medium
2023-12-26,Main Block,237.15,Medium
2023-12-27,Main Block,114.99,Medium
2023-12-28,Main Block,263.69,Medium
2023-12-29,Main Block,223.85,Medium
2023-12-30,Main Block,73.45,Low
2023-12-31,Main Block,105.61,Low
2024-01-01,Main Block,169.09,Medium
2024-01-02,Main Block,184.23,Medium
2024-01-03,Main Block,247.85,Medium
2024-01-04,Main Block,238.99,Medium
2024-01-05,Main Block,233.67,Medium
2024-01-06,Main Block,106.72,Low
2024-01-07,Main Block,78.84,Low
2024-01-08,Main Block,135.23,Medium
2024-01-09,Main Block,166.41,Medium
2024-01-10,Main Block,116.09,Medium
2024-01-11,Main Block,207.56,Medium
2024-01-12,Main Block,209.99,Medium
2024-01-13,Main Block,58.13,Low
2024-01-14,Main Block,78.88,Low
2024-01-15,Main Block,232.16,Medium
2024-01-16,Main Block,151.22,Medium
2024-01-17,Main Block,187.87,Medium
2024-01-18,Main Block,193.98,Medium
2024-01-19,Main Block,210.4,Medium
2024-01-20,Main Block,55.9,Low
2024-01-21,Main Block,71.76,Low
2024-01-22,Main Block,229.22,Medium
2024-01-23,Main Block,174.35,Medium
2024-01-24,Main Block,217.23,Medium
2024-01-25,Main Block,159.73,Medium
2024-01-26,Main Block,140.13,Medium
2024-01-27,Main Block,40.82,Low
2024-01-28,Main Block,73.82,Low
2024-01-29,Main Block,240.09,Medium
2024-01-30,Main Block,145.66,Medium
2024-01-31,Main Block,191.07,Medium
2024-02-01,Main Block,291.22,Medium
2024-02-02,Main Block,171.42,High
2024-02-03,Main Block,55.6,Low
2024-02-04,Main Block,70.58,Low
2024-02-05,Main Block,353.44,Low
2024-02-06,Main Block,274.53,Medium
2024-02-07,Main Block,363.47,High
2024-02-08,Main Block,299.21,Medium
2024-02-09,Main Block,291.21,Low
2024-02-10,Main Block,113.41,Low
2024-02-11,Main Block,52.92,Low
2024-02-12,Main Block,279.52,Low
2024-02-13,Main Block,174.03,Low
2024-02-14,Main Block,178.27,High
2024-02-15,Main Block,231.42,Medium
2024-02-16,Main Block,307.38,High
2024-02-17,Main Block,109.41,Low
2024-02-18,Main Block,106.11,Low
2024-02-19,Main Block,234.08,Low
2024-02-20,Main Block,221.91,High
2024-02-21,Main Block,244.26,High
2024-02-22,Main Block,301.17,Low
2024-02-23,Main Block,312.14,Low
2024-02-24,Main Block,79.07,Low
2024-02-25,Main Block,54.73,Low
2024-02-26,Main Block,361.98,High
2024-02-27,Main Block,182.8,Medium
2024-02-28,Main Block,232.77,Low
2024-02-29,Main Block,247.73,High
2024-03-01,Main Block,223.96,Low
2024-03-02,Main Block,109.03,Low
2024-03-03,Main Block,73.82,Low
2024-03-04,Main Block,314.05,Medium
2024-03-05,Main Block,285.29,High
2024-03-06,Main Block,359.22,Low
2024-03-07,Main Block,345.0,High
2024-03-08,Main Block,351.53,High
2024-03-09,Main Block,83.87,Low
2024-03-10,Main Block,123.53,Low
2024-03-11,Main Block,175.99,High
2024-03-12,Main Block,197.4,Medium
2024-03-13,Main Block,292.08,High
2024-03-14,Main Block,346.14,High
2024-03-15,Main Block,234.67,High
2024-03-16,Main Block,102.82,Low
2024-03-17,Main Block,120.35,Low
2024-03-18,Main Block,226.26,Low
2024-03-19,Main Block,286.04,Medium
2024-03-20,Main Block,249.34,High
2024-03-21,Main Block,147.61,Medium
2024-03-22,Main Block,340.39,Low
2024-03-23,Main Block,107.34,Low
2024-03-24,Main Block,71.59,Low
2024-03-25,Main Block,267.8,Low
2024-03-26,Main Block,210.87,Low
2024-03-27,Main Block,275.19,Medium
2024-03-28,Main Block,274.95,Low
2024-03-29,Main Block,318.27,Low
2024-03-30,Main Block,59.63,Low
2024-03-31,Main Block,61.11,Low
2024-04-01,Main Block,505.0,High
2024-04-02,Main Block,302.9,High
2024-04-03,Main Block,488.81,High
2024-04-04,Main Block,494.12,High
2024-04-05,Main Block,255.92,High
2024-04-06,Main Block,129.27,Low
2024-04-07,Main Block,67.76,Low
2024-04-08,Main Block,330.69,High
2024-04-09,Main Block,307.73,High
2024-04-10,Main Block,399.61,High
2024-04-11,Main Block,287.91,High
2024-04-12,Main Block,335.57,High
2024-04-13,Main Block,65.3,Low
2024-04-14,Main Block,80.22,Low
2024-04-15,Main Block,314.37,High
2024-04-16,Main Block,311.94,High
2024-04-17,Main Block,467.94,High
2024-04-18,Main Block,392.9,High
2024-04-19,Main Block,295.26,High
2024-04-20,Main Block,90.96,Low
2024-04-21,Main Block,93.29,Low
2024-04-22,Main Block,321.08,High
2024-04-23,Main Block,259.14,High
2024-04-24,Main Block,493.27,High
2024-04-25,Main Block,287.46,High
2024-04-26,Main Block,486.4,High
2024-04-27,Main Block,79.91,Low
2024-04-28,Main Block,75.72,Low
2024-04-29,Main Block,275.68,High
2024-04-30,Main Block,337.73,High
2024-05-01,Main Block,440.55,High
2024-05-02,Main Block,492.11,High
2024-05-03,Main Block,434.25,High
2024-05-04,Main Block,120.01,Low
2024-05-05,Main Block,62.83,Low
2024-05-06,Main Block,386.03,High
2024-05-07,Main Block,258.14,High
2024-05-08,Main Block,506.45,High
2024-05-09,Main Block,509.94,High
2024-05-10,Main Block,246.91,High
2024-05-11,Main Block,84.41,Low
2024-05-12,Main Block,101.62,Low
2024-05-13,Main Block,323.09,High
2024-05-14,Main Block,334.79,High
2024-05-15,Main Block,416.43,High
2024-05-16,Main Block,298.48,High
2024-05-17,Main Block,371.43,High
2024-05-18,Main Block,144.21,Low
2024-05-19,Main Block,120.46,Low
2024-05-20,Main Block,515.11,High
2024-05-21,Main Block,505.43,High
2024-05-22,Main Block,306.4,High
2024-05-23,Main Block,283.49,High
2024-05-24,Main Block,385.89,High
2024-05-25,Main Block,80.24,Low
2024-05-26,Main Block,118.81,Low
2024-05-27,Main Block,289.06,High
2024-05-28,Main Block,282.37,High
2024-05-29,Main Block,460.52,High
2024-05-30,Main Block,503.07,High
2024-05-31,Main Block,321.42,High
2024-06-01,Main Block,60.74,Low
2024-06-02,Main Block,106.4,Low
2024-06-03,Main Block,429.12,High
2024-06-04,Main Block,423.09,High
2024-06-05,Main Block,504.59,High
2024-06-06,Main Block,427.76,High
2024-06-07,Main Block,399.02,High
2024-06-08,Main Block,125.1,Low
2024-06-09,Main Block,124.86,Low
2024-06-10,Main Block,401.89,High
2024-06-11,Main Block,409.65,High
2024-06-12,Main Block,452.76,High
2024-06-13,Main Block,341.3,High
2024-06-14,Main Block,387.96,High
2024-06-15,Main Block,89.58,Low
2024-06-16,Main Block,42.29,Low
2024-06-17,Main Block,413.03,High
2024-06-18,Main Block,386.5,High
2024-06-19,Main Block,309.75,High
2024-06-20,Main Block,373.61,High
2024-06-21,Main Block,301.09,High
2024-06-22,Main Block,138.25,Low
2024-06-23,Main Block,98.3,Low
2024-06-24,Main Block,451.48,High
2024-06-25,Main Block,417.06,High
2024-06-26,Main Block,389.54,High
2024-06-27,Main Block,363.6,High
2024-06-28,Main Block,430.78,High
2024-06-29,Main Block,107.48,Low
2024-06-30,Main Block,120.5,Low
2024-07-01,Main Block,222.21,Medium
2024-07-02,Main Block,294.86,High
2024-07-03,Main Block,233.13,Medium
2024-07-04,Main Block,193.12,Medium
2024-07-05,Main Block,219.15,Low
2024-07-06,Main Block,64.39,Low
2024-07-07,Main Block,100.6,Low
2024-07-08,Main Block,181.27,High
2024-07-09,Main Block,318.2,Low
2024-07-10,Main Block,215.97,Low
2024-07-11,Main Block,332.21,Medium
2024-07-12,Main Block,210.82,Medium
2024-07-13,Main Block,57.47,Low
2024-07-14,Main Block,92.93,Low
2024-07-15,Main Block,209.68,Medium
2024-07-16,Main Block,174.5,Low
2024-07-17,Main Block,279.03,Low
2024-07-18,Main Block,328.55,High
2024-07-19,Main Block,183.08,Medium
2024-07-20,Main Block,125.75,Low
2024-07-21,Main Block,51.52,Low
2024-07-22,Main Block,296.45,High
2024-07-23,Main Block,220.95,Low
2024-07-24,Main Block,272.8,Medium
2024-07-25,Main Block,274.13,Medium
2024-07-26,Main Block,354.65,Medium
2024-07-27,Main Block,75.83,Low
2024-07-28,Main Block,96.97,Low
2024-07-29,Main Block,161.28,Medium
2024-07-30,Main Block,226.18,Medium
2024-07-31,Main Block,347.21,Low
2024-08-01,Main Block,318.74,Low
2024-08-02,Main Block,191.21,Medium
2024-08-03,Main Block,103.09,Low
2024-08-04,Main Block,55.33,Low
2024-08-05,Main Block,208.79,Medium
2024-08-06,Main Block,172.83,Low
2024-08-07,Main Block,305.6,Low
2024-08-08,Main Block,329.39,Low
2024-08-09,Main Block,286.11,Medium
2024-08-10,Main Block,110.5,Low
2024-08-11,Main Block,101.87,Low
2024-08-12,Main Block,243.62,Medium
2024-08-13,Main Block,354.51,High
2024-08-14,Main Block,328.96,High
2024-08-15,Main Block,337.94,Low
2024-08-16,Main Block,146.91,High
2024-08-17,Main Block,112.87,Low
2024-08-18,Main Block,101.96,Low
2024-08-19,Main Block,263.7,Low
2024-08-20,Main Block,190.04,Medium
2024-08-21,Main Block,290.8,Medium
2024-08-22,Main Block,267.07,Low
2024-08-23,Main Block,331.03,Medium
2024-08-24,Main Block,78.42,Low
2024-08-25,Main Block,96.11,Low
2024-08-26,Main Block,248.75,High
2024-08-27,Main Block,243.98,High
2024-08-28,Main Block,363.28,Low
2024-08-29,Main Block,324.53,High
2024-08-30,Main Block,352.74,High
2024-08-31,Main Block,53.4,Low
2024-09-01,Main Block,64.02,Low
2024-09-02,Main Block,274.52,Low
2024-09-03,Main Block,311.99,High
2024-09-04,Main Block,291.98,Medium
2024-09-05,Main Block,220.44,Medium
2024-09-06,Main Block,175.95,High
2024-09-07,Main Block,80.17,Low
2024-09-08,Main Block,105.66,Low
2024-09-09,Main Block,324.17,Low
2024-09-10,Main Block,313.16,High
2024-09-11,Main Block,325.23,High
2024-09-12,Main Block,290.48,Medium
2024-09-13,Main Block,313.61,Low
2024-09-14,Main Block,63.29,Low
2024-09-15,Main Block,125.11,Low
2024-09-16,Main Block,250.0,Medium
2024-09-17,Main Block,193.95,High
2024-09-18,Main Block,283.04,High
2024-09-19,Main Block,250.76,Low
2024-09-20,Main Block,188.15,Low
2024-09-21,Main Block,110.88,Low
2024-09-22,Main Block,84.69,Low
2024-09-23,Main Block,242.47,Medium
2024-09-24,Main Block,205.07,High
2024-09-25,Main Block,261.46,High
2024-09-26,Main Block,309.73,High
2024-09-27,Main Block,270.96,High
2024-09-28,Main Block,120.36,Low
2024-09-29,Main Block,85.37,Low
2024-09-30,Main Block,232.95,Low
2024-10-01,Main Block,158.2,Low
2024-10-02,Main Block,330.99,Low
2024-10-03,Main Block,206.38,Medium
2024-10-04,Main Block,283.89,Low
2024-10-05,Main Block,54.19,Low
2024-10-06,Main Block,62.01,Low
2024-10-07,Main Block,270.45,Medium
2024-10-08,Main Block,368.3,Low
2024-10-09,Main Block,198.4,Medium
2024-10-10,Main Block,152.75,Low
2024-10-11,Main Block,175.93,High
2024-10-12,Main Block,76.02,Low
2024-10-13,Main Block,94.05,Low
2024-10-14,Main Block,289.96,Medium
2024-10-15,Main Block,285.92,Medium
2024-10-16,Main Block,181.28,Low
2024-10-17,Main Block,160.92,High
2024-10-18,Main Block,197.24,Low
2024-10-19,Main Block,70.87,Low
2024-10-20,Main Block,107.21,Low
2024-10-21,Main Block,259.68,Medium
2024-10-22,Main Block,248.7,Medium
2024-10-23,Main Block,268.55,Low
2024-10-24,Main Block,237.84,Medium
2024-10-25,Main Block,323.54,Medium
2024-10-26,Main Block,46.43,Low
2024-10-27,Main Block,102.68,Low
2024-10-28,Main Block,238.85,Medium
2024-10-29,Main Block,188.31,Medium
2024-10-30,Main Block,245.9,High
2024-10-31,Main Block,312.08,Low
2024-11-01,Main Block,163.28,Medium
2024-11-02,Main Block,92.82,Low
2024-11-03,Main Block,90.4,Low
2024-11-04,Main Block,230.29,Medium
2024-11-05,Main Block,152.44,Medium
2024-11-06,Main Block,245.31,Medium
2024-11-07,Main Block,166.6,Medium
2024-11-08,Main Block,175.12,Medium
2024-11-09,Main Block,68.83,Low
2024-11-10,Main Block,71.3,Low
2024-11-11,Main Block,199.46,Medium
2024-11-12,Main Block,182.4,Medium
2024-11-13,Main Block,178.85,Medium
2024-11-14,Main Block,161.65,Medium
2024-11-15,Main Block,235.12,Medium
2024-11-16,Main Block,83.34,Low
2024-11-17,Main Block,64.22,Low
2024-11-18,Main Block,210.17,Medium
2024-11-19,Main Block,249.01,Medium
2024-11-20,Main Block,189.36,Medium
2024-11-21,Main Block,218.83,Medium
2024-11-22,Main Block,170.87,Medium
2024-11-23,Main Block,69.98,Low
2024-11-24,Main Block,70.37,Low
2024-11-25,Main Block,161.09,Medium
2024-11-26,Main Block,201.84,Medium
2024-11-27,Main Block,223.1,Medium
2024-11-28,Main Block,160.12,Medium
2024-11-29,Main Block,226.52,Medium
2024-11-30,Main Block,62.17,Low
2024-12-01,Main Block,41.45,Low
2024-12-02,Main Block,206.37,Medium
2024-12-03,Main Block,188.04,Medium
2024-12-04,Main Block,141.95,Medium
2024-12-05,Main Block,249.73,Medium
2024-12-06,Main Block,223.01,Medium
2024-12-07,Main Block,96.83,Low
2024-12-08,Main Block,136.85,Low
2024-12-09,Main Block,150.22,Medium
2024-12-10,Main Block,245.26,Medium
2024-12-11,Main Block,233.18,Medium
2024-12-12,Main Block,247.14,Medium
2024-12-13,Main Block,168.78,Medium
2024-12-14,Main Block,95.73,Low
2024-12-15,Main Block,67.04,Low
2024-12-16,Main Block,242.86,Medium
2024-12-17,Main Block,188.28,Medium
2024-12-18,Main Block,138.81,Medium
2024-12-19,Main Block,142.87,Medium
2024-12-20,Main Block,246.55,Medium
2024-12-21,Main Block,60.32,Low
2024-12-22,Main Block,76.81,Low
2024-12-23,Main Block,179.29,Medium
2024-12-24,Main Block,183.66,Medium
2024-12-25,Main Block,236.71,Medium
2024-12-26,Main Block,133.57,Medium
2024-12-27,Main Block,198.65,Medium
2024-12-28,Main Block,72.23,Low
2024-12-29,Main Block,119.51,Low
2024-12-30,Main Block,130.2,Medium
2024-12-31,Main Block,264.4,Medium
2023-01-01,Science Lab,94.4,Low
2023-01-02,Science Lab,169.93,Medium
